intervention,phase,n,mean,median,q1,q3,iqr,p90,p95,useful_count,useful_fraction,ci95_low,ci95_high
left,pre_switch,236,1.8553634828313768,0.5659304085733594,0.15181955599065017,2.282034461943077,2.130214905952427,4.503227778018411,8.020401885012351,128,0.5423728813559322,0.3681424402580585,0.8347265297178947
left,post_switch,264,3.9276727321433698,0.7282860739280399,0.2196419166091522,3.5223365321270643,3.302694615517912,10.937407546018456,18.62534434184026,163,0.6174242424242424,0.5327441385616776,1.0490532207228678
right,pre_switch,236,2.0072811450827963,0.5694793940550402,0.1587784705118791,2.2223593913228537,2.0635809208109746,4.642023367575712,7.507281751038408,132,0.559322033898305,0.3834905804250971,0.770662399564078
right,post_switch,264,4.150664346422147,0.7406216476315283,0.23015179421853915,3.40846935978212,3.1783175655635807,10.71867972746842,17.65479696667678,163,0.6174242424242424,0.5075201690230321,1.0372832425188805
nonext,pre_switch,236,20.6607993433062,20.236897001753363,12.497813878168424,29.413250929265864,16.91543705109744,33.440845130444806,37.54374754864698,236,1.0,17.468806876715256,23.485979073387963
nonext,post_switch,264,19.850537481117346,18.378455602557032,11.396545646243203,27.205079607850166,15.808533961606964,33.403130461008615,38.73767314970402,264,1.0,16.325485929901703,20.936924819452045
