time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02377,0.00000,0.00000,-0.00017,0.00000,-0.00000,-0.00147,-3.09635,-16.74051,0.03303,50.99020,0.00000,0.00017,17.02446,0.00000,2.06004,0.00000
0.07694,0.00000,-0.01368,0.00167,0.00000,-0.31271,0.09693,-4.04631,-21.75367,0.04230,50.97678,0.00268,0.00167,22.12679,0.00000,1.48721,0.00000
0.11008,0.01969,-0.12506,0.00356,0.42998,-2.50171,0.09400,-4.36130,-23.22418,0.04409,50.87144,0.04383,0.00356,23.63014,0.00000,1.64850,0.00000
0.14729,0.02803,-0.28530,0.00493,0.23454,-5.43341,0.03525,-4.46797,-23.61048,0.04298,50.71600,0.08344,0.00493,24.02951,0.00000,1.44171,0.00000
0.18144,0.02413,-0.71726,0.00524,0.07818,-10.04595,0.03231,-4.51423,-23.59821,0.04023,50.29187,0.16433,0.00524,24.02611,0.00000,1.47875,0.00000
0.20839,0.04172,-1.05138,0.00819,0.35180,-12.15677,0.14393,-4.58019,-23.45808,0.03597,49.96803,0.24710,0.00819,23.90104,0.00000,1.08938,0.00000
0.23264,0.03725,-1.45991,0.01091,-0.07818,-14.65848,0.10868,-4.63264,-23.25444,0.03090,49.56699,0.32284,0.01091,23.71140,0.00000,1.09229,0.00000
0.25695,0.03776,-1.86450,0.01338,-0.23454,-16.26114,0.10134,-4.69346,-23.01679,0.02592,49.17096,0.40268,0.01338,23.49045,0.00000,1.14013,0.00000
0.28554,0.04393,-2.32376,0.01597,-0.03909,-18.29379,0.08959,-4.74992,-22.74324,0.02026,48.72273,0.49880,0.01597,23.23396,0.00000,1.21042,0.00000
0.31000,0.05629,-2.97644,0.01788,0.03909,-21.57729,0.06903,-4.79673,-22.37227,0.01312,48.08685,0.63893,0.01788,22.88071,0.00000,1.27488,0.00000
0.33516,0.06697,-3.57050,0.01961,0.03909,-22.74997,0.06756,-4.85864,-21.96726,0.00567,47.50834,0.76590,0.01961,22.49815,0.00000,1.57208,0.00000
0.36207,0.07219,-4.23113,0.02113,-0.15636,-24.97806,0.03378,-4.92608,-21.51952,-0.00193,46.86404,0.90059,0.02113,22.07614,0.00000,1.65229,0.00000
0.38936,0.08432,-4.98351,0.02242,-0.31271,-27.55795,0.04112,-4.99824,-20.98354,-0.01024,46.13218,1.06003,0.02242,21.57062,0.00000,1.65929,0.00000
0.41598,0.08864,-5.77909,0.02353,-0.39089,-28.53518,0.03965,-5.01336,-20.53056,-0.01347,45.35714,1.22029,0.02353,21.13380,0.00000,1.69400,0.00000
0.44453,0.08911,-6.62169,0.02431,-0.70361,-30.80236,0.02937,-4.98386,-20.14901,-0.01278,44.53614,1.38599,0.02431,20.75624,0.00000,1.53592,0.00000
0.47328,0.09089,-7.56984,0.02463,-0.78179,-32.75682,0.00147,-4.92438,-19.74081,-0.01106,43.61358,1.57370,0.02463,20.34574,0.00000,1.68613,0.00000
0.50056,0.09829,-8.57456,0.02448,-0.50816,-34.32040,-0.01762,-4.84838,-19.28937,-0.00902,42.63850,1.77799,0.02448,19.88936,0.00000,1.53913,0.00000
0.52890,0.11950,-9.59067,0.02467,-0.27363,-36.58757,0.04700,-4.78299,-18.80071,-0.00666,41.65715,1.99807,0.02467,19.39958,0.00000,1.61408,0.00000
0.57037,0.12424,-11.22693,0.02370,-0.70361,-38.69839,-0.01762,-4.71305,-18.10771,-0.00499,40.07307,2.32361,0.02370,18.71101,0.00000,1.53592,0.00000
0.60397,0.16171,-12.45574,0.02411,0.11727,-39.67563,0.02644,-4.65935,-17.46489,-0.00491,38.89514,2.60134,0.02411,18.07572,0.00000,1.52979,0.00000
0.63498,0.18986,-13.84705,0.02481,0.03909,-42.02098,0.01616,-4.52587,-16.78134,0.00029,37.56154,2.90181,0.02481,17.38093,0.00000,1.43442,0.00000
0.66452,0.20565,-15.10963,0.02477,-0.50816,-42.52915,0.00587,-4.33571,-16.12778,0.00641,36.35235,3.16490,0.02477,16.70041,0.00000,1.44229,0.00000
0.69462,0.21207,-16.39590,0.02416,-0.78179,-43.42820,-0.00587,-4.11746,-15.48428,0.00999,35.12153,3.42346,0.02416,16.02237,0.00000,1.43062,0.00000
0.72410,0.22868,-17.79336,0.02425,-0.70361,-45.38266,-0.01175,-3.88458,-14.79466,0.01181,33.79192,3.71380,0.02425,15.29614,0.00000,1.27138,0.00000
0.75138,0.23875,-19.08540,0.02410,-0.70361,-46.43808,-0.00147,-3.64289,-14.11518,0.01343,32.56601,3.97707,0.02410,14.57769,0.00000,1.21975,0.00000
0.77873,0.21514,-20.36652,0.02342,-1.44630,-46.75079,-0.00441,-3.42719,-13.47326,0.01382,31.34473,4.20516,0.02342,13.90231,0.00000,1.21567,0.00000
0.80815,0.19114,-21.66522,0.02276,-2.03264,-47.06350,-0.03819,-3.22036,-12.89554,0.01345,30.11178,4.43633,0.02276,13.29156,0.00000,1.21129,0.00000
0.83689,0.19267,-23.08255,0.02297,-1.32904,-47.92347,0.00881,-3.02012,-12.29533,0.01152,28.78263,4.71579,0.02297,12.66082,0.00000,1.33875,0.00000
0.86556,0.11735,-24.56226,0.02235,-2.85352,-48.82252,-0.02937,-2.80347,-11.66275,0.00875,27.37589,4.93213,0.02235,11.99497,0.00000,1.21538,0.00000
0.89286,-0.02877,-25.88320,0.02099,-5.70704,-48.82252,-0.07050,-2.62240,-11.05531,0.00610,26.09685,5.04790,0.02099,11.36208,0.00000,1.40029,0.00000
0.92261,-0.16306,-27.37571,0.02021,-5.82430,-49.29159,-0.00881,-2.45025,-10.33132,0.00441,24.67030,5.20892,0.02021,10.61791,0.00000,1.22500,0.00000
0.95254,-0.27954,-28.86182,0.01912,-5.19888,-50.03429,-0.00294,-2.28328,-9.60957,0.00596,23.26607,5.38616,0.01912,9.87711,0.00000,1.22500,0.00000
0.98310,-0.44617,-30.36437,0.01721,-6.29338,-50.19065,-0.07344,-2.10618,-8.83097,0.00822,21.83652,5.51744,0.01721,9.07866,0.00000,1.26962,0.00000
1.01449,-0.68466,-31.92844,0.01487,-8.09148,-50.30791,-0.07050,-1.93208,-7.98559,0.01011,20.33118,5.59032,0.01487,8.21599,0.00000,1.31775,0.00000
1.04637,-0.88892,-33.52464,0.01306,-7.46605,-49.87793,-0.06022,-1.77747,-7.12975,0.01049,18.82682,5.70306,0.01306,7.34798,0.00000,1.58317,0.00000
1.08545,-1.22755,-35.47382,0.00976,-8.79509,-48.93979,-0.08665,-1.53818,-6.18633,0.01123,16.96955,5.75328,0.00976,6.37469,0.00000,2.06821,0.00000
1.11857,-1.49793,-36.97762,0.00674,-9.42052,-47.41531,-0.11456,-1.34223,-5.26134,0.01213,15.55209,5.78307,0.00674,5.42986,0.00000,1.22938,0.00000
1.15204,-1.78621,-38.45928,0.00415,-9.42052,-46.71170,-0.07784,-1.11419,-4.33639,0.00920,14.16526,5.79096,0.00415,4.47724,0.00000,1.21246,0.00000
1.18228,-2.09439,-39.96166,0.00022,-9.57688,-44.99177,-0.13218,-0.91133,-3.55937,0.00591,12.77760,5.78341,0.00022,3.67419,0.00000,1.51842,0.00000
1.21467,-2.39312,-41.28294,-0.00443,-9.42052,-42.56824,-0.12631,-0.70449,-3.00347,0.00325,11.56943,5.74961,0.00443,3.08499,0.00000,1.42742,0.00000
1.24534,-2.69406,-42.62437,-0.00830,-9.34234,-41.35647,-0.13659,-0.37383,-2.54787,0.00283,10.38156,5.71759,0.00830,2.57515,0.00000,1.42421,0.00000
1.27649,-2.93866,-43.79303,-0.01385,-7.93513,-39.32383,-0.20562,0.05344,-2.30089,0.00375,9.40154,5.70693,0.01385,2.30151,0.00000,1.47992,0.00000
1.31078,-3.25332,-44.92042,-0.01961,-8.87327,-34.98491,-0.15862,0.54515,-2.15467,0.00219,8.44511,5.61948,0.01961,2.22256,0.00000,1.61583,0.00000
1.34623,-3.50109,-46.09826,-0.02585,-6.87971,-34.28131,-0.19827,7.37903,-1.76176,0.03380,23.82278,3.90174,0.02585,7.58643,1.00000,1.16025,0.00000
1.37853,-3.80243,-47.16971,-0.03292,-7.07516,-31.23234,-0.23793,9.46617,-1.42040,0.04718,23.97011,2.83029,0.03292,9.57214,1.00000,1.29646,8.95130
1.41118,-3.98643,-48.03796,-0.03630,-6.68427,-28.30065,-0.13953,10.08828,-1.10984,0.05171,24.06654,1.96204,0.03630,10.14914,1.00000,1.42829,9.60029
1.44131,-4.00313,-48.81379,-0.04410,-0.15636,-24.66534,-0.29815,10.25661,-0.78783,0.05649,24.03242,1.18621,0.04410,10.28683,1.00000,1.35479,9.80734
1.47401,-3.96528,-49.46301,-0.05379,2.03264,-21.89000,-0.24968,10.33957,-0.49908,0.06041,23.97129,0.53699,0.05379,10.35161,1.00000,1.22529,9.93353
1.50455,-3.79372,-50.10427,-0.06046,5.62886,-19.85736,-0.23499,10.36672,-0.23757,0.06361,23.79395,0.10427,0.06046,10.36945,1.00000,1.21858,10.00712
1.53531,-3.44037,-50.60732,-0.06659,11.17954,-17.08202,-0.16743,10.33441,-0.02617,0.06833,23.44823,0.60732,0.06659,10.33444,1.00000,1.41021,10.01821
1.56587,-3.02548,-51.05413,-0.07120,14.11123,-14.18941,-0.12190,10.25826,0.18830,0.07226,23.04960,1.05413,0.07120,10.25999,1.00000,1.31629,0.00000
1.60685,-2.26406,-51.61404,-0.07443,18.17652,-12.03950,-0.04553,10.07088,0.40989,0.07487,22.32248,1.61404,0.07443,10.07922,1.00000,1.61962,0.00000
1.64309,-1.53615,-51.94639,-0.07477,22.31998,-8.83418,0.03231,9.92299,0.48236,0.07701,21.62393,1.94639,0.07477,9.93471,1.00000,1.57325,0.00000
1.67623,-0.73186,-52.25302,-0.07183,24.23536,-7.50514,0.12925,9.66917,0.55684,0.07667,20.85392,2.25302,0.07183,9.68519,1.00000,1.53679,0.00000
1.70902,0.21939,-52.48740,-0.06642,27.20614,-4.88616,0.17918,9.30789,0.55949,0.07524,19.93640,2.48739,0.06642,9.32469,1.00000,1.58550,0.00000
1.74322,1.20507,-52.62890,-0.05969,30.52873,-2.65807,0.21443,8.89787,0.54410,0.07180,18.97790,2.62890,0.05969,8.91449,1.00000,1.67212,0.00000
1.77696,2.31142,-52.75887,-0.05040,33.14772,-2.03264,0.29961,8.43990,0.52668,0.06491,17.90244,2.75887,0.05040,8.45631,1.00000,1.62371,0.00000
1.81096,3.51397,-52.85598,-0.03918,36.27486,-1.17268,0.32165,7.95556,0.49073,0.05521,16.73158,2.85598,0.03918,7.97069,1.00000,1.53300,0.00000
1.84471,4.76057,-52.93951,-0.02738,35.80579,-0.97723,0.36424,7.42244,0.46109,0.04331,15.52034,2.93951,0.02738,7.43675,1.00000,1.56012,0.00000
1.87908,6.07985,-53.02935,-0.01460,38.30750,-1.52448,0.36864,6.85542,0.43548,0.03048,14.24596,3.02935,0.01460,6.86924,1.00000,1.58521,0.00000
1.91255,7.48046,-53.09193,-0.00276,39.79290,-1.25086,0.34221,6.21842,0.39612,0.01617,12.89569,3.09193,0.00276,6.23103,1.00000,1.08033,0.00000
1.94274,8.69603,-53.13401,0.00783,40.41832,-1.21177,0.32458,5.56800,0.35567,0.00228,11.73038,3.13401,0.00783,5.57935,1.00000,1.27283,0.00000
1.97336,9.95300,-53.16143,0.01721,41.08284,-1.28995,0.29815,4.85052,0.31812,-0.00863,10.53266,3.16143,0.01721,4.86094,1.00000,1.45862,0.00000
2.00433,11.22563,-53.16716,0.02505,41.12193,-0.97723,0.25849,4.20280,0.29325,-0.01426,9.32848,3.16716,0.02505,4.21302,1.00000,1.22763,0.00000
2.03576,12.49812,-53.15682,0.03178,40.57468,-0.70361,0.17478,3.56526,0.26962,-0.01690,8.13902,3.15682,0.03178,3.57544,1.00000,1.29296,0.00000
2.06771,13.78973,-53.12718,0.03744,40.37923,-0.46907,0.13659,2.89018,0.29989,-0.02114,6.95318,3.12718,0.03744,2.90570,1.00000,1.62225,0.00000
