time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02205,0.00000,0.00000,0.00015,0.03909,-0.00000,0.00000,6.60116,3.08313,0.42454,22.36068,20.00000,0.99985,7.28567,0.00000,0.97592
0.07685,0.00586,-0.00000,0.00180,0.07818,0.03909,0.22177,8.58506,3.99934,0.55142,22.35544,19.99414,0.99820,9.47090,0.00000,0.70613
0.10972,0.11134,0.01988,0.01446,3.00988,0.62543,0.47733,9.18586,4.20545,0.58528,22.25222,19.88866,0.98554,10.10277,0.00000,0.71108
0.14246,0.30774,0.08550,0.03447,5.74613,1.68084,0.70204,9.36603,4.15025,0.58855,22.04728,19.69226,0.96553,10.24437,0.00000,0.80208
0.17527,0.61492,0.19042,0.06192,8.91236,2.69716,0.90325,9.39511,3.97790,0.57930,21.72577,19.38508,0.93808,10.20254,0.00000,0.82542
0.20810,1.01844,0.34326,0.09614,11.80497,3.83075,1.08978,9.31823,3.74472,0.56239,21.29676,18.98156,0.90386,10.04253,0.00000,0.70642
0.24355,1.53089,0.54315,0.14091,15.87025,4.41709,1.32183,9.12007,3.43350,0.54021,20.74945,18.46910,0.85909,9.74498,0.00000,0.70379
0.27513,2.19928,0.82591,0.18456,19.03648,5.08161,1.45695,8.84824,3.02791,0.51490,20.02572,17.80071,0.81544,9.35199,0.00000,0.55650
0.30696,2.81734,1.10309,0.23383,21.38184,5.27705,1.58766,8.59223,2.64777,0.48706,19.34939,17.18266,0.76617,8.99095,0.00000,0.57342
0.33803,3.59360,1.44599,0.28363,24.35263,4.72980,1.62438,8.33407,2.23745,0.45445,18.50246,16.40640,0.71637,8.62919,0.00000,0.75046
0.36808,4.36986,1.80669,0.33324,27.20614,4.26073,1.70222,8.05593,1.71207,0.41870,17.64742,15.63014,0.66676,8.23585,0.00000,0.50050
0.40117,5.16249,2.22811,0.39269,29.74695,4.41709,1.82853,7.71628,1.07078,0.37852,16.74974,14.83751,0.60731,7.79022,0.00000,0.49058
0.43585,6.11353,2.77051,0.45592,32.17049,4.10438,1.82559,7.34524,0.38218,0.34146,15.65566,13.88647,0.54408,7.35518,0.00000,0.80617
0.48109,7.32930,3.48901,0.53881,34.24222,2.14991,1.80944,6.94811,-0.36044,0.29590,14.24569,12.67070,0.46119,6.95745,0.00000,0.59675
0.51281,8.53069,4.23299,0.59624,36.31395,0.93814,1.77860,6.44977,-0.77494,0.25679,12.83758,11.46931,0.40376,6.49616,0.00000,0.43342
0.54235,9.48571,4.82311,0.64465,37.13482,-0.97723,1.68900,5.95908,-0.96066,0.22310,11.71966,10.51429,0.35535,6.03602,0.00000,0.44275
0.58501,10.81028,5.67420,0.71398,38.38568,-3.08805,1.59795,5.22491,-1.11424,0.17903,10.15694,9.18972,0.28602,5.34240,0.00000,0.58975
0.61583,11.82805,6.36437,0.75903,38.19024,-4.18255,1.43345,4.47748,-1.27442,0.14219,8.94419,8.17195,0.24097,4.65532,0.00000,0.58596
0.64597,12.81594,7.01816,0.80206,37.83843,-6.01975,1.36589,3.72607,-1.30282,0.11353,7.77831,7.18406,0.19794,3.94726,0.00000,0.48300
0.67598,13.75693,7.66551,0.84044,37.68208,-7.34879,1.28511,3.04608,-1.26885,0.08879,6.66527,6.24307,0.15956,3.29978,0.00000,0.59704
0.70591,14.71090,8.36167,0.87523,37.76025,-7.73968,1.14705,2.45392,-1.15902,0.06785,5.53703,5.28910,0.12477,2.71387,0.00000,0.48533
0.73892,15.57489,8.97974,0.91311,36.66575,-8.87327,1.11327,1.92726,-1.02138,0.04874,4.54121,4.42511,0.08689,2.18118,0.00000,0.66208
0.77206,16.53054,9.74975,0.94799,35.10218,-8.52147,1.00606,1.38699,-0.87245,0.02998,3.47847,3.46946,0.05201,1.63857,0.00000,0.49525
0.80128,17.35503,10.46610,0.97583,33.38225,-7.81786,0.96934,-12.04351,-10.30470,-0.74741,50.53537,2.64497,1.97583,15.85033,1.00000,0.48358
0.83131,18.11180,11.12244,1.00530,32.71774,-8.52147,0.95906,-16.56437,-12.72213,-0.99364,51.15730,1.88820,2.00530,20.88614,1.00000,0.48242
0.85880,18.74034,11.67202,1.02478,30.72418,-8.83418,0.66238,-18.30133,-13.09160,-1.08095,51.68737,1.25966,2.02478,22.50175,1.00000,0.57429
0.88596,19.35096,12.09180,1.03809,25.99438,-9.81141,0.43180,-19.07271,-12.90533,-1.11433,52.09584,0.64904,2.03809,23.02858,1.00000,0.72100
0.91604,19.95519,12.47731,1.04783,22.63270,-11.10136,0.25702,-19.52414,-12.59706,-1.12944,52.47733,0.04481,2.04783,23.23527,1.00000,0.55854
0.94663,20.51405,12.70939,1.04777,18.45014,-12.43039,-0.08665,-19.80509,-12.40990,-1.13354,52.71189,0.51405,2.04777,23.37193,1.00000,0.64429
0.97636,21.06046,12.81136,1.04138,12.70402,-13.32945,-0.24527,-19.96076,-12.35778,-1.13080,52.82201,1.06045,2.04138,23.47651,1.00000,1.33263
1.00596,21.56301,12.83434,1.03261,9.53779,-13.52489,-0.35836,-20.03480,-12.36644,-1.12488,52.85745,1.56301,2.03261,23.54404,1.00000,0.71604
1.03423,21.94360,12.73198,1.01694,5.19888,-13.87670,-0.64770,-19.98957,-12.49376,-1.11344,52.76778,1.94360,2.01694,23.57281,1.00000,0.64517
1.06600,22.32199,12.47438,0.99343,0.39089,-14.38486,-0.76372,-19.82964,-12.73894,-1.09604,52.52573,2.32199,1.99343,23.56895,1.00000,0.49788
1.09934,22.67846,12.08028,0.96420,-3.00988,-14.65848,-0.97081,-19.51956,-13.06617,-1.07508,52.14912,2.67846,1.96420,23.48911,1.00000,0.58158
