time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02302,0.00000,0.00000,0.00040,-0.00000,0.00000,0.00000,-0.13352,7.17064,0.29141,20.00000,0.00000,0.74960,7.17188,0.00000,1.01762,0.00000
0.07717,-0.00000,0.00586,0.00264,-0.03909,0.23454,0.14393,-0.15543,9.32289,0.37828,19.99414,0.00000,0.74736,9.32418,0.00000,0.76329,0.00000
0.11474,0.00947,0.08408,0.01259,0.19545,2.18900,0.27905,-0.08647,9.95688,0.40191,19.91592,0.00947,0.73741,9.95726,0.00000,0.71954,0.00000
0.15067,0.00942,0.23263,0.02897,0.15636,3.63530,0.56398,0.05951,10.10885,0.40405,19.76737,0.00942,0.72103,10.10903,0.00000,0.58713,0.00000
0.18227,0.03611,0.45047,0.05008,0.62543,6.52791,0.68588,0.24929,10.10867,0.39771,19.54956,0.03611,0.69992,10.11174,0.00000,0.59267,0.00000
0.21352,0.06932,0.72027,0.07357,1.64175,8.36511,0.80338,0.47380,10.04148,0.38775,19.27985,0.06932,0.67643,10.05265,0.00000,0.60958,0.00000
0.24980,0.11800,1.06493,0.10542,2.14991,10.47593,0.93116,0.75990,9.95197,0.37252,18.93544,0.11800,0.64458,9.98094,0.00000,0.75512,0.00000
0.28286,0.16027,1.54102,0.13918,2.54080,13.29036,1.07215,1.03252,9.86852,0.35503,18.45968,0.16027,0.61082,9.92239,0.00000,0.77904,0.00000
0.31614,0.20995,2.05530,0.17877,3.47895,14.89302,1.20727,1.34499,9.70387,0.32863,17.94593,0.20995,0.57123,9.79663,0.00000,0.68921,0.00000
0.35074,0.25025,2.68252,0.22126,4.22164,16.57386,1.24546,1.77796,9.37800,0.29641,17.31929,0.25025,0.52874,9.54505,0.00000,0.48446,0.00000
0.38182,0.26921,3.28185,0.26170,4.61254,18.05925,1.33652,2.18476,8.90427,0.26107,16.72032,0.26921,0.48830,9.16838,0.00000,2.78075,0.00000
0.41253,0.33874,3.97051,0.30338,6.56700,19.97463,1.34239,2.46757,8.32649,0.22436,16.03307,0.33874,0.44662,8.68443,0.00000,0.46258,0.00000
