time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02290,0.00000,0.00000,0.00040,-0.00000,0.00000,0.00294,9.97446,-0.16062,0.00124,30.00000,15.43487,0.00040,9.97575,0.00000,1.00246
0.07869,0.01954,-0.00002,-0.00432,0.97723,-0.03909,-0.09547,12.95362,-0.15023,0.00339,29.98046,15.42484,0.00432,12.95449,0.00000,0.74404
0.11159,0.21298,-0.01265,-0.00769,4.49527,-0.23454,-0.08078,13.77850,-0.10116,0.00527,29.78702,15.33614,0.00769,13.77887,0.00000,0.58946
0.14956,0.47077,-0.03638,-0.01148,7.89604,-0.62543,-0.06756,13.93496,-0.03667,0.00723,29.52925,15.22386,0.01148,13.93501,0.00000,0.98817
0.18238,0.93370,-0.06327,-0.01320,12.11768,-0.70361,-0.04553,13.82483,0.00602,0.00843,29.06637,15.00874,0.01320,13.82483,0.00000,0.51625
0.21397,1.48441,-0.10010,-0.01546,16.45659,-0.85996,-0.07637,13.60560,0.05093,0.00978,28.51577,14.75699,0.01546,13.60570,0.00000,0.55008
0.24377,2.12290,-0.14360,-0.01921,19.46646,-1.05541,-0.13806,13.32052,0.10660,0.01157,27.87747,14.46579,0.01921,13.32095,0.00000,0.50750
0.27109,2.84929,-0.18510,-0.02172,23.14086,-0.97723,-0.05875,12.99170,0.15935,0.01301,27.15134,14.12765,0.02172,12.99267,0.00000,0.46054
0.30160,3.62087,-0.21342,-0.01932,27.20614,-0.62543,0.12631,12.63852,0.15867,0.01219,26.37999,13.75496,0.01932,12.63951,0.00000,0.45646
0.33585,4.74968,-0.27134,-0.01106,32.13140,-1.21177,0.23352,12.15894,0.08899,0.00793,25.25178,13.22385,0.01106,12.15926,0.00000,0.57283
0.36685,5.83749,-0.34852,-0.00489,35.41489,-1.91538,0.19827,11.65333,0.03681,0.00337,24.16503,12.73037,0.00489,11.65339,0.00000,0.55767
0.40565,7.24656,-0.37253,0.00371,37.79934,-0.66452,0.23646,11.04721,-0.05335,-0.00186,22.75649,12.02599,0.00371,11.04733,0.00000,0.55475
0.43914,8.70089,-0.43187,0.01315,41.82554,-1.56357,0.28346,10.39195,-0.15982,-0.00713,21.30348,11.32863,0.01315,10.39318,0.00000,0.59850
