anchor_id,phase,turn_type,base_vx,base_vy,base_w,left_vx,left_vy,left_w,right_vx,right_vy,right_w,nonext_vx,nonext_vy,nonext_w
5,pre_switch,unknown,2.27274377112268,-0.786574126318879,-0.000851059201900948,2.35046821659314,-0.886885764398089,-0.000851241997123583,2.28871937750665,-0.660679990411756,-0.000850441785558685,24.266732544895,14.5478205093652,8.13709061141849
37,post_switch,unknown,0.1722497418491,-0.0172886868823674,-0.00183945808545757,0.134743175055959,0.110406238623045,-0.00184151263307545,0.108478236472687,-0.134104772166172,-0.00184248920469522,20.0834231511151,11.3071513799713,6.22313159423208
42,pre_switch,unknown,4.37648855669509,2.00529636529075,0.036243513689792,4.527993788521,1.66874335671529,0.0362442191084046,4.51108504296234,2.35808576623668,0.0362447592698422,12.1892260340202,13.7574238555598,8.59672280469766
145,post_switch,unknown,-1.31718761730363,-3.0029041311312,-0.184835761632157,1.19756401317829,-3.04015730710983,-0.184836017310411,-3.06905075011429,-1.19835691101772,-0.184836050566489,-15.6536567667357,2.99441802777424,4.10737393675076
319,post_switch,unknown,1.69089401549656,-0.398100428042599,0.0451607510381645,1.45555545783858,0.775327897258257,0.0162099992112488,0.909158922623959,-1.41286453045041,0.0153521724935696,17.8664084374457,14.3366219308938,6.28597019413046
386,pre_switch,unknown,1.04692099215409,-0.610236490892191,0.0666206995607513,1.40329584678586,1.64076628187319,0.10045575008865,-0.579482020826954,-2.07931122339011,-0.0781245068323878,-27.6138243800198,-17.1233184542363,-9.70809737279483
572,pre_switch,unknown,13.0060551121164,3.32361734856708,-0.321921754334388,13.1547200969453,3.21620403861284,-0.325228452178978,12.9820704965539,3.57207191990255,-0.325266927286203,22.1049583602155,13.2747835675882,6.2618529877943
626,post_switch,unknown,-0.206300440158483,0.112558897740484,-0.000742165552223661,-0.224830889863689,-0.0671341902602153,-0.000738663985310743,-0.0661358663593638,0.226515863920642,-0.000737675811115262,20.6236314945951,10.1110526067165,5.16871981292064
759,post_switch,unknown,0.214180096406535,0.0732718763713494,0.003701627361652,0.0999995334985848,0.203742410307313,0.00369526405918348,0.202659252859359,-0.0997206476046389,0.00369605943351142,2.46266564856328,6.65076236618494,3.56574080591499
778,post_switch,unknown,-0.271839283159813,0.124970229296502,0.00100264717469636,-0.280522026518907,-0.104261397776463,0.00100032205779198,-0.103610150976289,0.280918453873637,0.000999679541054689,8.53315551441093,3.82199098584259,1.62855668824996
822,pre_switch,unknown,-0.336701901262477,-1.44571988268881,0.371221661837458,-1.45070192603122,-1.07524707938445,0.0930626335201138,0.224085381905106,-2.5407171115627,0.223473611590132,26.2918839827264,13.4472972560299,0.33120775902877
