time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02324,0.00000,0.00000,0.00106,-0.00000,0.00000,0.00000,0.07654,-6.77721,-0.01377,20.00000,6.32456,0.00106,6.77764,0.00000,1.53125
0.08634,0.00196,-0.02345,0.00162,0.07818,-0.66452,0.00881,0.09818,-8.80324,-0.01804,19.97655,6.31900,0.00162,8.80379,0.00000,1.11154
0.13043,0.00392,-0.11922,-0.00057,0.03909,-2.22809,-0.07344,0.10447,-9.37905,-0.01873,19.88078,6.29057,0.00057,9.37963,0.00000,0.90592
0.16887,-0.00819,-0.30878,-0.00482,-0.31271,-4.84707,-0.11603,0.10885,-9.48890,-0.01787,19.69122,6.21914,0.00482,9.48953,0.00000,0.87179
0.20292,-0.03546,-0.62525,-0.00819,-0.66452,-8.20875,-0.09400,0.11205,-9.41857,-0.01678,19.37478,6.09319,0.00819,9.41924,0.00000,0.74521
0.23478,-0.05408,-0.95540,-0.01011,-0.50816,-10.43684,-0.06022,0.10717,-9.28351,-0.01583,19.04468,5.97113,0.01011,9.28413,0.00000,0.84292
0.26729,-0.09616,-1.38492,-0.01452,-1.05541,-12.82129,-0.16009,0.10294,-9.09014,-0.01418,18.61532,5.79537,0.01452,9.09072,0.00000,0.84379
0.30339,-0.14161,-1.91589,-0.02022,-1.17268,-15.90934,-0.15274,0.09595,-8.84090,-0.01197,18.08466,5.58436,0.02022,8.84142,0.00000,0.90621
0.33919,-0.19970,-2.61841,-0.02616,-1.05541,-17.66836,-0.18212,0.08944,-8.50747,-0.00937,17.38273,5.30709,0.02616,8.50794,0.00000,0.74258
0.37502,-0.25079,-3.26222,-0.03319,-1.01632,-19.93554,-0.19974,0.08301,-8.16167,-0.00609,16.73966,5.05503,0.03319,8.16210,0.00000,0.90592
0.41042,-0.30047,-4.02907,-0.04018,-0.70361,-21.06913,-0.20121,0.07254,-7.76093,-0.00238,15.97376,4.76540,0.04018,7.76127,0.00000,0.91175
0.44842,-0.37519,-4.93166,-0.04796,-0.85996,-23.06268,-0.20856,0.05863,-7.27623,0.00188,15.07301,4.40909,0.04796,7.27647,0.00000,0.72887
0.47944,-0.42905,-5.70978,-0.05449,-0.66452,-23.76629,-0.18799,0.04086,-6.80443,0.00613,14.29666,4.11193,0.05449,6.80455,0.00000,0.84642
0.51587,-0.49074,-6.56764,-0.06190,-0.39089,-25.32986,-0.18506,0.04193,-6.31746,0.01018,13.44132,3.78213,0.06190,6.31760,0.00000,0.99371
0.55138,-0.56235,-7.51684,-0.06859,-0.31271,-25.52530,-0.18799,0.08785,-5.85650,0.01204,12.49582,3.41403,0.06859,5.85716,0.00000,1.06721
0.60082,-0.67860,-8.77239,-0.07597,-0.54725,-25.87711,-0.13659,0.15820,-5.34350,0.01417,11.24810,2.90670,0.07597,5.34584,0.00000,0.73792
0.63592,-0.74342,-9.63775,-0.08069,0.00000,-25.01715,-0.11750,0.22443,-4.92264,0.01603,10.38888,2.57156,0.08069,4.92775,0.00000,2.26508
0.67024,-0.82030,-10.57470,-0.08470,0.00000,-25.32986,-0.08959,0.30051,-4.49213,0.01723,9.46093,2.20234,0.08470,4.50217,0.00000,1.01179
0.70486,-0.87245,-11.34115,-0.08763,0.31271,-24.31354,-0.08665,0.38379,-4.12580,0.01849,8.70269,1.91049,0.08763,4.14361,0.00000,0.73413
0.73698,-0.92747,-12.13878,-0.08964,0.54725,-23.64902,-0.05140,0.47251,-3.76057,0.01953,7.91574,1.60606,0.08964,3.79014,0.00000,0.84000
0.77013,-0.98395,-12.88922,-0.09116,0.46907,-22.86723,-0.01762,0.54362,-3.44400,0.01990,7.17853,1.31517,0.09116,3.48664,0.00000,0.84671
0.80372,-1.02285,-13.60793,-0.09161,0.82088,-21.42093,-0.01762,0.59789,-3.17012,0.01921,6.47339,1.05099,0.09161,3.22601,0.00000,0.75075
0.83952,-1.04682,-14.28879,-0.09169,1.13359,-20.40461,0.00147,0.61414,-2.93366,0.01883,5.80636,0.81294,0.09169,2.99725,0.00000,0.89804
0.87303,-1.07165,-14.95778,-0.09099,1.09450,-18.84104,0.02056,0.60897,-2.71626,0.01880,5.15484,0.57783,0.09099,2.78369,0.00000,0.73879
0.90560,-1.07735,-15.50880,-0.08983,1.32904,-16.84748,0.03672,4.31776,-9.90176,0.01708,36.22638,0.39818,0.08983,10.80222,1.00000,1.02229
0.94104,-1.07983,-16.05415,-0.08814,1.36813,-16.14388,0.04406,5.42534,-11.96463,0.01733,35.70831,0.22337,0.08814,13.13723,1.00000,0.73821
0.97158,-1.04640,-16.58105,-0.08583,2.03264,-16.06570,0.08959,5.73556,-12.49370,0.01769,35.19729,0.08846,0.08583,13.74734,1.00000,0.74754
1.00164,-0.97275,-17.10932,-0.08354,3.55713,-17.74654,0.06169,5.79488,-12.55790,0.01796,34.67273,0.00872,0.08354,13.83046,1.00000,0.93071
1.03372,-0.88447,-17.70728,-0.08316,4.69071,-19.27102,0.00881,5.79509,-12.45912,0.01928,34.07772,0.11406,0.08316,13.74091,1.00000,0.83475
1.06561,-0.73418,-18.41236,-0.08228,6.13702,-21.18639,0.04112,5.74781,-12.29009,0.02053,33.36168,0.19445,0.08228,13.56774,1.00000,0.82483
1.10801,-0.53040,-19.40789,-0.07904,6.91880,-23.29722,0.08665,5.66051,-12.04482,0.02161,32.35378,0.31594,0.07904,13.30861,1.00000,0.76825
1.13551,-0.33246,-20.21208,-0.07764,8.13057,-25.13441,0.02203,5.58100,-11.80940,0.02303,31.52903,0.38247,0.07764,13.06176,1.00000,0.86158
1.16747,-0.12067,-21.03258,-0.07562,9.14689,-26.65890,0.06609,5.48664,-11.58045,0.02397,30.68451,0.44101,0.07562,12.81444,1.00000,1.08121
1.19954,0.13243,-21.94595,-0.07431,9.77232,-27.40159,0.02350,5.36581,-11.33830,0.02519,29.73884,0.48973,0.07431,12.54388,1.00000,0.97913
1.23590,0.41483,-22.92966,-0.07347,10.67138,-28.88698,0.00734,5.21488,-11.06120,0.02642,28.71722,0.53290,0.07347,12.22887,1.00000,1.00013
1.27484,0.80629,-24.09171,-0.07230,12.54766,-30.72418,0.03672,5.02543,-10.76326,0.02834,27.49116,0.52900,0.07230,11.87867,1.00000,0.71283
1.30690,1.20952,-25.34824,-0.07185,12.89947,-31.81868,0.00441,4.84426,-10.44334,0.03121,26.17216,0.54381,0.07185,11.51217,1.00000,0.72829
1.33586,1.53163,-26.33007,-0.07176,13.87670,-32.71774,0.00147,4.68839,-10.15825,0.03402,25.13919,0.54871,0.07176,11.18798,1.00000,0.66588
1.36681,1.92722,-27.38185,-0.07109,14.73666,-33.22589,0.02937,4.51498,-9.85999,0.03695,24.01563,0.50603,0.07109,10.84456,1.00000,0.84088
1.39948,2.35911,-28.51229,-0.06929,15.75298,-34.04677,0.07490,4.30982,-9.51987,0.03980,22.80580,0.45377,0.06929,10.45000,1.00000,1.00129
1.43512,2.83636,-29.88420,-0.06801,16.33932,-35.45398,0.04406,4.08697,-9.07380,0.04425,21.35329,0.43485,0.06801,9.95174,1.00000,0.92750
1.46632,3.33017,-31.01737,-0.06595,17.27747,-35.57125,0.09840,3.83256,-8.61918,0.04604,20.12031,0.32472,0.06595,9.43286,1.00000,0.73733
1.50000,3.81009,-32.18000,-0.06347,17.78563,-35.80579,0.10575,3.56212,-8.14068,0.04525,18.86445,0.23709,0.06347,8.88591,1.00000,0.86858
1.53549,4.35757,-33.49820,-0.05965,18.41105,-36.62666,0.11603,3.26013,-7.60290,0.04266,17.43980,0.13455,0.05965,8.27240,1.00000,0.90300
1.56828,4.93139,-34.81566,-0.05559,18.48923,-36.90029,0.14834,2.92616,-7.03759,0.03960,16.00797,0.00680,0.05559,7.62168,1.00000,0.94704
