time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
1.21460,20.92693,8.52560,0.88732,-21.85091,-12.35222,-1.54067,-15.16118,-12.29930,-0.89457,48.53446,0.92693,1.88732,19.52266,1.00000,0.87150
1.24773,20.74045,7.68160,0.83270,-24.00082,-12.78220,-1.70369,-14.19806,-12.90481,-0.87941,47.68734,0.74045,1.83270,19.18642,1.00000,0.89483
1.28068,20.52812,6.69187,0.77796,-26.69798,-14.89302,-1.72278,-13.10649,-13.46716,-0.86001,46.69486,0.52812,1.77796,18.79214,1.00000,0.99458
1.31633,20.21580,5.55071,0.71499,-28.37882,-16.49568,-1.79769,-11.78243,-14.00436,-0.83447,45.55122,0.21580,1.71499,18.30157,1.00000,1.03104
1.35490,19.84887,4.21213,0.64475,-29.39515,-20.32643,-1.86378,-10.33933,-14.34774,-0.81729,44.21239,0.15113,1.64475,17.68501,1.00000,1.15617
1.40206,19.46411,2.76904,0.55553,-29.39515,-23.68811,-1.86084,-8.70015,-14.64061,-0.80110,42.77240,0.53589,1.55553,17.03056,1.00000,0.86275
1.43358,19.01967,1.23337,0.49715,-29.43423,-26.15073,-1.90197,-7.50690,-14.71187,-0.78587,41.24503,0.98033,1.49715,16.51644,1.00000,0.96337
1.46659,18.68797,0.05329,0.43267,-28.88698,-29.19970,-1.93722,-6.40885,-14.87334,-0.76213,40.07478,1.31203,1.43267,16.19536,1.00000,0.94792
1.49751,18.34502,-1.32187,0.37545,-26.26800,-32.09231,-1.84762,-5.37846,-14.99594,-0.74052,38.71352,1.65498,1.37545,15.93129,1.00000,0.92663
1.53241,18.02813,-2.58253,0.31389,-24.78261,-34.39857,-1.75803,-4.31144,-15.14197,-0.72124,37.46939,1.97187,1.31389,15.74382,1.00000,0.98933
1.56410,17.68523,-4.11579,0.25959,-23.02359,-37.44754,-1.68460,-3.28018,-15.12343,-0.70421,35.95879,2.31477,1.25959,15.47507,1.00000,0.94033
1.59660,17.42640,-5.47859,0.20570,-20.60006,-40.53559,-1.68460,-2.25957,-15.00694,-0.67912,34.61721,2.57360,1.20570,15.17610,1.00000,0.95579
1.63426,17.08773,-7.18741,0.14243,-17.59018,-41.63009,-1.65082,-1.17292,-14.70121,-0.64123,32.94158,2.91227,1.14243,14.74793,1.00000,1.15267
1.67951,16.70303,-9.22515,0.06786,-14.73666,-45.96901,-1.65522,-0.10151,-14.16761,-0.59050,30.95095,3.29697,1.06786,14.16797,1.00000,1.11971
1.71419,16.40370,-10.96511,0.01075,-11.88314,-46.20354,-1.64494,0.76474,-13.43143,-0.55876,29.25676,3.59630,1.01075,13.45318,1.00000,0.95404
1.74855,16.12998,-12.55116,-0.04477,-8.67782,-47.72802,-1.61116,1.56086,-12.59145,-0.53526,27.72031,3.87002,0.95523,12.68783,1.00000,0.90679
1.78316,15.89818,-14.15879,-0.10274,-5.15979,-49.36977,-1.70957,2.31211,-11.70596,-0.51225,26.16473,4.10182,0.89726,11.93212,1.00000,0.95433
1.81956,15.65113,-16.00155,-0.16405,-1.21177,-48.90070,-1.74628,2.89708,-10.68693,-0.48956,24.38930,4.34887,0.83595,11.07265,1.00000,0.95958
1.85685,15.41783,-17.88246,-0.23118,1.64175,-49.87793,-1.86672,3.31826,-9.54774,-0.46324,22.58721,4.58217,0.76882,10.10792,1.00000,0.87558
1.88980,15.17528,-19.51379,-0.29574,4.22164,-48.86161,-1.96512,3.77520,-8.54365,-0.43222,21.04668,4.82472,0.70426,9.34056,1.00000,0.88112
1.92432,14.92669,-21.20773,-0.36315,6.87971,-48.58799,-1.97834,4.23888,-7.51371,-0.39649,19.46504,5.07331,0.63685,8.62693,1.00000,1.05933
1.95803,14.73032,-22.90497,-0.43040,11.92223,-48.11892,-2.04590,4.62448,-6.43006,-0.35987,17.88881,5.26968,0.56960,7.92032,1.00000,0.84233
1.99335,14.52297,-24.47602,-0.50314,14.03305,-45.10904,-2.02534,4.88635,-5.41387,-0.31971,16.46183,5.47703,0.49686,7.29290,1.00000,0.84321
2.03372,14.34137,-26.12263,-0.58653,18.76286,-43.74091,-2.07234,4.93186,-4.45515,-0.26914,14.98671,5.65863,0.41347,6.64617,1.00000,0.91612
2.07396,14.19034,-28.28032,-0.66724,22.78905,-39.94925,-2.01946,4.64528,-3.46848,-0.21792,13.08063,5.80966,0.33276,5.79733,1.00000,0.70613
2.10517,14.11373,-29.69875,-0.73142,25.09532,-37.64299,-1.99890,4.35876,-2.64978,-0.17658,11.86440,5.88627,0.26858,5.10100,1.00000,0.69213
2.14293,14.08645,-31.35729,-0.80216,28.45700,-33.42134,-1.85644,3.82805,-1.69074,-0.13389,10.47217,5.91355,0.19784,4.18480,1.00000,0.81112
2.17575,14.09965,-32.72853,-0.86173,30.52873,-30.13784,-1.72719,3.27087,-0.88639,-0.09453,9.36420,5.90035,0.13827,3.38885,1.00000,0.97883
2.21050,14.12468,-34.11648,-0.91742,31.74050,-25.91620,-1.54213,2.73999,-0.28111,-0.06176,8.31476,5.87532,0.08258,2.75437,1.00000,0.72071
2.24324,14.25957,-35.44060,-0.96460,32.60047,-21.85091,-1.35855,2.25055,0.01947,-0.03672,7.33080,5.74043,0.03540,2.25063,1.00000,0.84671
2.27800,14.44782,-36.69297,-1.01067,34.12495,-17.04293,-1.27777,1.77956,0.16842,-0.01614,6.46244,5.55218,0.01067,1.78752,1.00000,0.92604
2.31273,14.66699,-37.91867,-1.05194,33.61679,-14.07214,-1.13971,1.33388,0.24672,0.00046,5.72476,5.33301,0.05194,1.35650,1.00000,0.72013
2.34712,14.95340,-39.19946,-1.08979,34.28131,-10.47593,-1.07656,0.88445,0.29903,0.01687,5.10970,5.04660,0.08979,0.93363,1.00000,0.72537
2.38323,15.22337,-40.25731,-1.12618,32.63956,-7.89604,-0.97522,0.50296,0.33830,0.03605,4.78356,4.77663,0.12618,0.60615,1.00000,0.65596
