time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02208,0.00000,0.00000,0.00056,-0.00000,0.00000,0.00000,9.75697,-0.42580,0.00779,30.00000,15.43487,0.00056,9.76625,0.00000,1.43208
0.07652,0.01759,-0.00197,-0.00241,1.09450,-0.07818,-0.03231,12.69756,-0.52997,0.01098,29.98241,15.42751,0.00241,12.70861,0.00000,1.09142
0.11128,0.20520,-0.00833,-0.00198,4.61254,-0.15636,0.05434,13.51421,-0.56025,0.01100,29.79480,15.33644,0.00198,13.52582,0.00000,1.15004
0.14686,0.46318,-0.01281,0.00083,8.13057,-0.11727,0.08959,13.65352,-0.58628,0.00904,29.53682,15.20755,0.00083,13.66610,0.00000,1.24804
0.19287,1.02020,-0.00861,0.00401,12.86038,0.15636,0.05728,13.48120,-0.60822,0.00513,28.97980,14.91736,0.00401,13.49491,0.00000,1.27983
0.23372,1.84685,0.01267,0.01140,18.21561,0.42998,0.25115,13.09566,-0.66154,-0.00130,28.15315,14.47381,0.01140,13.11235,0.00000,0.86333
0.26488,2.64586,0.04923,0.02314,22.43725,0.70361,0.43180,12.67357,-0.75686,-0.00742,27.35419,14.03138,0.02314,12.69615,0.00000,0.98029
0.30064,3.60287,0.08822,0.04180,27.44068,0.54725,0.54342,12.14268,-0.91793,-0.01515,26.39728,13.50556,0.04180,12.17733,0.00000,0.85108
0.33686,4.75234,0.15244,0.06043,32.32684,0.58634,0.50376,11.53297,-1.08029,-0.02446,25.24812,12.85910,0.06043,11.58345,0.00000,0.98758
0.36859,5.92874,0.28807,0.07619,34.94582,1.64175,0.54636,10.93126,-1.26260,-0.03436,24.07298,12.13754,0.07619,11.00394,0.00000,0.76475
0.40580,7.17916,0.39259,0.09524,37.52572,0.70361,0.46998,10.26657,-1.46229,-0.04569,22.82422,11.40458,0.09524,10.37018,0.00000,1.43296
0.43824,8.64443,0.50907,0.10881,41.31738,-0.62543,0.39361,9.54553,-1.65744,-0.05488,21.36163,10.55083,0.10881,9.68836,0.00000,0.75221
