model_file,timestamp,duration_s,steps,goal1,goal2,goal_switch_dist,goal_switch_time_s,M2_handoff_fail_k,M2_handoff_fail_N,M2_handoff_fail_pct,M3_peak_control_jump,M4_completion_k,M4_completion_N,M4_completion_pct,M5_inf_p50_ms,M5_inf_p95_ms,M5_deadline_ms,M5_deadline_misses,M5_deadline_miss_pct,avg_pos_error_in,max_pos_error_in,avg_crosstrack_in,max_crosstrack_in,avg_theta_error_rad,avg_inference_ms,RMSE Cross Track,CT STD DEV
Test0_Baseline.tflite,20260812_154842,2.448,62,"[30, 0, 0]","[55, -15, 0]",3.00,0.872,0,1,0.0,12.59555,1,1,100.0,0.431,0.554,10.0,0,0.00,14.2562,31.2410,6.2943,15.4349,0.0816,0.433,7.478,4.071
Test0_Baseline.tflite,20260812_170009,5.664,188,"[30, 0, 0]","[55, -15, 0]",3.00,0.824,0,1,0.0,10.61280,0,1,0.0,0.405,0.601,10.0,0,0.00,9.2499,31.5061,5.2740,15.4349,0.0449,0.440,5.840,2.515
Test3_SigmoidBlend.tflite,20260811_210351,2.458,77,"[20, 10, 1]","[20, -40, -1]",3.00,0.801,0,1,0.0,23.76339,1,1,100.0,0.579,0.976,10.0,0,0.00,27.9998,52.8575,5.5538,20.0000,0.9680,0.617,8.240,6.126
Test3_SigmoidBlend.tflite,20260812_161246,2.613,78,"[20, 10, 1]","[20, -40, -1]",3.00,0.855,0,1,0.0,24.75431,1,1,100.0,0.567,1.045,10.0,0,0.00,26.8811,52.6022,6.3077,20.0000,0.9341,0.660,8.485,5.711
Test3_SigmoidBlend.tflite,20260812_165509,2.221,64,"[20, 10, 1]","[20, -40, -1]",5.00,0.736,0,1,0.0,24.23309,1,1,100.0,0.600,0.928,10.0,0,0.00,30.1159,52.0532,5.3039,20.0000,0.9644,0.634,8.518,6.717
Test3_SigmoidBlend.tflite,20260811_213031,2.624,86,"[-10, -50, 0]","[10, 15, 0]",15.00,1.094,0,1,0.0,34.20165,1,1,100.0,0.569,0.906,10.0,0,0.00,43.1192,62.3426,4.7652,10.5191,0.2035,0.624,5.532,2.826
Test3_SigmoidBlend.tflite,20260812_161750,2.589,84,"[-10, -50, 0]","[10, 15, 0]",15.00,1.164,0,1,0.0,32.08470,1,1,100.0,0.564,0.864,10.0,0,0.00,42.5315,60.8746,2.2476,5.1465,0.1475,0.606,2.535,1.179
Test3_SigmoidBlend.tflite,20260812_164732,1.933,51,"[0, -20, 0]","[10, -50, 0]",5.00,0.939,0,1,0.0,13.89075,1,1,100.0,0.569,0.726,10.0,0,0.00,18.5382,36.4663,2.4735,6.3246,0.0428,0.610,3.163,1.992
Test3_SigmoidBlend.tflite,20260811_214133,1.905,60,"[0, -20, 0]","[10, -50, 0]",5.00,0.928,0,1,0.0,13.41926,1,1,100.0,0.560,0.911,10.0,0,0.00,18.6366,36.1927,2.2990,6.3246,0.0566,0.598,3.112,2.115
Test3_SigmoidBlend.tflite,20260812_162409,2.148,61,"[0, -20, 0]","[10, -50, 0]",5.00,1.014,0,1,0.0,14.38023,1,1,100.0,0.591,0.779,10.0,0,0.00,18.1207,36.4060,2.4710,6.3246,0.0461,0.640,3.172,2.005
Test3_SigmoidBlend.tflite,20260812_165835,1.846,53,"[0, -20, 0]","[10, -50, 0]",5.00,0.887,0,1,0.0,13.86283,1,1,100.0,0.583,0.757,10.0,0,0.00,18.4530,36.3433,2.4069,6.3246,0.0104,0.597,3.191,2.116
Test3_SigmoidBlend.tflite,19691231_192724,2.666,80,"[30, 0, 0]","[55, -15, 0]",3.00,0.860,0,1,0.0,11.75933,1,1,100.0,0.583,0.767,10.0,0,0.00,14.2116,31.3397,7.0505,15.4349,0.0628,0.611,7.946,3.687
Test3_SigmoidBlend.tflite,20260812_155832,2.518,73,"[30, 0, 0]","[55, -15, 0]",3.00,0.832,0,1,0.0,11.72257,1,1,100.0,0.582,0.871,10.0,0,0.00,14.4790,30.9775,7.0915,15.4349,0.0582,0.609,8.163,4.072
Test3_SigmoidBlend.tflite,20260812_170804,2.632,80,"[30, 0, 0]","[55, -15, 0]",3.00,0.847,0,1,0.0,11.11942,1,1,100.0,0.568,0.725,10.0,0,0.00,14.7737,31.4354,8.0177,15.4349,0.0514,0.588,8.787,3.618
