field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_182427
duration_s,1.755
steps,53
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,0.935
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,15.96745
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.578
M5_inf_p95_ms,0.821
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,19.1980
max_pos_error_in,39.3374
avg_crosstrack_in,1.9595
max_crosstrack_in,3.8764
avg_theta_error_rad,0.2631
avg_inference_ms,0.601
RMSE Cross Track,2.609
CT STD DEV,1.739
