field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,20260812_161246
duration_s,2.613
steps,78
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,3.00
goal_switch_time_s,0.855
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,24.75431
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.567
M5_inf_p95_ms,1.045
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,26.8811
max_pos_error_in,52.6022
avg_crosstrack_in,6.3077
max_crosstrack_in,20.0000
avg_theta_error_rad,0.9341
avg_inference_ms,0.660
RMSE Cross Track,8.485
CT STD DEV,5.711
