field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_182203
duration_s,1.637
steps,51
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,0.837
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,15.44398
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.573
M5_inf_p95_ms,0.967
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,19.4877
max_pos_error_in,39.6126
avg_crosstrack_in,1.1445
max_crosstrack_in,2.7790
avg_theta_error_rad,0.2527
avg_inference_ms,0.640
RMSE Cross Track,1.492
CT STD DEV,0.967
