field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_181606
duration_s,2.320
steps,73
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.783
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,25.16579
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.567
M5_inf_p95_ms,0.969
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,29.3048
max_pos_error_in,51.4403
avg_crosstrack_in,1.5145
max_crosstrack_in,4.3997
avg_theta_error_rad,0.9242
avg_inference_ms,0.607
RMSE Cross Track,2.003
CT STD DEV,1.320
