field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_181235
duration_s,6.941
steps,211
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.826
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,24.94836
M4_completion_k,0
M4_completion_N,1
M4_completion_pct,0.0
M5_inf_p50_ms,0.565
M5_inf_p95_ms,0.783
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.1057
max_pos_error_in,50.1288
avg_crosstrack_in,1.3335
max_crosstrack_in,5.2912
avg_theta_error_rad,0.4315
avg_inference_ms,0.592
RMSE Cross Track,1.672
CT STD DEV,1.012
