field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_182814
duration_s,1.251
steps,37
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.724
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,7.80889
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.582
M5_inf_p95_ms,0.824
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.8429
max_pos_error_in,24.8213
avg_crosstrack_in,0.2534
max_crosstrack_in,0.6015
avg_theta_error_rad,0.0321
avg_inference_ms,0.619
RMSE Cross Track,0.321
CT STD DEV,0.199
