field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_182552
duration_s,1.197
steps,34
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.714
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,7.83770
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.624
M5_inf_p95_ms,1.011
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.4592
max_pos_error_in,23.7660
avg_crosstrack_in,1.3907
max_crosstrack_in,3.5175
avg_theta_error_rad,0.0935
avg_inference_ms,0.695
RMSE Cross Track,1.779
CT STD DEV,1.126
