field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_192724
duration_s,2.666
steps,80
goal1,[30.0, 0.0, 0.0]
goal2,[55.0, -15.0, 0.0]
goal_switch_dist,3.00
goal_switch_time_s,0.860
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,11.75933
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.583
M5_inf_p95_ms,0.767
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.2116
max_pos_error_in,31.3397
avg_crosstrack_in,7.0505
max_crosstrack_in,15.4349
avg_theta_error_rad,0.0628
avg_inference_ms,0.611
RMSE Cross Track,7.946
CT STD DEV,3.687
