field,value
model,Sigmoid
model_file,Test3_SigmoidBlend.tflite
timestamp,19691231_181837
duration_s,1.941
steps,62
goal1,[-10.0, -50.0, 0.0]
goal2,[20.0, -50.0, 0.0]
goal_switch_dist,8.00
goal_switch_time_s,1.270
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,14.07801
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.578
M5_inf_p95_ms,0.812
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,30.3977
max_pos_error_in,50.9902
avg_crosstrack_in,2.2181
max_crosstrack_in,6.7566
avg_theta_error_rad,0.0866
avg_inference_ms,0.600
RMSE Cross Track,2.768
CT STD DEV,1.669
