field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,19691231_191714
duration_s,3.309
steps,100
goal1,[30.0, 0.0, 0.0]
goal2,[55.0, -15.0, 0.0]
goal_switch_dist,3.00
goal_switch_time_s,0.819
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,11.16473
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.523
M5_inf_p95_ms,0.841
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,13.3463
max_pos_error_in,31.6593
avg_crosstrack_in,7.8439
max_crosstrack_in,15.4349
avg_theta_error_rad,0.0594
avg_inference_ms,0.551
RMSE Cross Track,8.539
CT STD DEV,3.392
