field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,20260812_161709
duration_s,2.642
steps,84
goal1,[-10.0, -50.0, 0.0]
goal2,[10.0, 15.0, 0.0]
goal_switch_dist,15.00
goal_switch_time_s,1.163
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,34.23003
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.520
M5_inf_p95_ms,0.681
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,42.4353
max_pos_error_in,61.2007
avg_crosstrack_in,2.7559
max_crosstrack_in,5.1822
avg_theta_error_rad,0.0849
avg_inference_ms,0.545
RMSE Cross Track,3.164
CT STD DEV,1.564
