field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,19691231_181142
duration_s,2.421
steps,75
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.812
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,23.75858
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.512
M5_inf_p95_ms,0.647
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,28.7836
max_pos_error_in,51.7121
avg_crosstrack_in,2.7078
max_crosstrack_in,6.2518
avg_theta_error_rad,0.9458
avg_inference_ms,0.513
RMSE Cross Track,3.498
CT STD DEV,2.229
