field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,19691231_182044
duration_s,1.794
steps,54
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,0.948
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,15.02054
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.540
M5_inf_p95_ms,0.814
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,19.2284
max_pos_error_in,39.5140
avg_crosstrack_in,1.7502
max_crosstrack_in,3.7344
avg_theta_error_rad,0.2320
avg_inference_ms,0.569
RMSE Cross Track,2.363
CT STD DEV,1.603
