field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,19691231_182739
duration_s,1.319
steps,38
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.788
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,6.95210
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.543
M5_inf_p95_ms,1.024
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.4561
max_pos_error_in,24.3483
avg_crosstrack_in,0.5315
max_crosstrack_in,1.2582
avg_theta_error_rad,0.0944
avg_inference_ms,0.592
RMSE Cross Track,0.655
CT STD DEV,0.387
