field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,19691231_183104
duration_s,2.178
steps,66
goal1,[-10.0, -50.0, 0.0]
goal2,[20.0, -50.0, 0.0]
goal_switch_dist,8.00
goal_switch_time_s,1.348
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,14.84664
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.534
M5_inf_p95_ms,0.861
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,29.3784
max_pos_error_in,50.9902
avg_crosstrack_in,3.2433
max_crosstrack_in,6.3701
avg_theta_error_rad,0.0631
avg_inference_ms,0.586
RMSE Cross Track,3.790
CT STD DEV,1.976
