field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,19691231_181524
duration_s,2.272
steps,72
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.823
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,24.84339
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.509
M5_inf_p95_ms,0.767
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,26.7178
max_pos_error_in,50.2543
avg_crosstrack_in,2.6724
max_crosstrack_in,6.2218
avg_theta_error_rad,1.0152
avg_inference_ms,0.536
RMSE Cross Track,3.505
CT STD DEV,2.284
