time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
1.06660,19.64413,10.72076,1.02273,0.27363,-12.82129,-0.71085,-16.81321,-10.66116,-0.90571,50.72201,0.35587,2.02273,19.90840,1.00000,0.72217,0.00000
1.09959,19.96733,10.37315,0.99552,-3.20532,-12.97764,-0.84744,-16.53975,-11.04628,-0.90547,50.37316,0.03267,1.99552,19.88928,1.00000,1.72054,0.00000
1.13037,20.19995,9.97458,0.96794,-6.17611,-13.64216,-0.93703,-16.18811,-11.49660,-0.90529,49.97498,0.19995,1.96794,19.85515,1.00000,0.84408,0.00000
1.16188,20.34452,9.50649,0.93379,-9.38143,-13.09491,-1.12356,-15.72323,-11.97587,-0.90122,49.50769,0.34452,1.93379,19.76466,1.00000,0.84467,0.00000
1.19125,20.44469,8.96397,0.89818,-12.19586,-13.48580,-1.20874,-15.18412,-12.42063,-0.89492,48.96598,0.44469,1.89818,19.61707,1.00000,0.74112,0.00000
1.21993,20.47903,8.32803,0.86193,-15.04938,-13.91579,-1.29833,-14.56383,-12.80142,-0.88583,48.33040,0.47903,1.86193,19.39024,1.00000,0.89396,0.00000
1.24922,20.45073,7.68278,0.82118,-17.35564,-13.79852,-1.42758,-13.84361,-13.19961,-0.87286,47.68491,0.45073,1.82118,19.12787,1.00000,0.90971,0.00000
1.27924,20.39042,6.96712,0.77773,-18.76286,-14.58031,-1.47457,-13.00340,-13.61497,-0.85629,46.96875,0.39042,1.77773,18.82700,1.00000,0.79275,0.00000
1.30780,20.28864,6.23816,0.73454,-20.28734,-15.63572,-1.54507,-12.09165,-14.00801,-0.83803,46.23906,0.28864,1.73454,18.50492,1.00000,0.90854,0.00000
1.33807,20.16091,5.41724,0.68556,-21.34275,-17.04293,-1.61263,-11.09667,-14.30940,-0.81545,45.41752,0.16091,1.68556,18.10787,1.00000,0.74638,0.00000
1.36877,20.00549,4.52169,0.63581,-21.96818,-18.84104,-1.63173,-10.08771,-14.50813,-0.80657,44.52169,0.00549,1.63581,17.67053,1.00000,0.95725,0.00000
1.40227,19.83202,3.54449,0.58149,-22.20272,-20.79550,-1.63907,-9.03221,-14.67422,-0.79883,43.54482,0.16798,1.58149,17.23118,1.00000,1.00567,0.00000
1.43435,19.64421,2.52077,0.52838,-22.00727,-22.98450,-1.66844,-8.10151,-14.77037,-0.78525,42.52226,0.35579,1.52838,16.84631,1.00000,0.87879,0.00000
