time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
1.03659,20.32529,10.44486,0.94706,1.25086,-12.23495,-0.35543,-19.45237,-10.75133,-1.03083,50.44591,0.32529,1.94706,22.22580,1.00000,0.52763,0.00000
1.06656,20.52571,10.14437,0.93438,-3.24441,-11.64861,-0.45677,-18.96071,-11.26446,-1.03083,50.14713,0.52572,1.93438,22.05440,1.00000,0.44333,0.00000
1.10192,20.69565,9.66112,0.91457,-7.50514,-11.45316,-0.63448,-18.81321,-11.41840,-1.03083,49.66599,0.69565,1.91457,22.00720,1.00000,0.52704,0.00000
1.13167,20.73600,9.16884,0.89264,-11.45316,-11.06227,-0.79457,-18.44084,-11.95677,-1.03084,49.17434,0.73600,1.89264,21.97792,1.00000,0.51800,0.00000
1.15979,20.70610,8.63599,0.86674,-14.50213,-10.78864,-0.95906,-18.32913,-11.62609,-1.03084,48.64111,0.70610,1.86674,21.70537,1.00000,0.53637,0.00000
1.19063,20.61970,7.99393,0.83626,-17.00384,-11.14045,-1.04865,-17.80343,-12.51127,-0.96211,47.99793,0.61970,1.83626,21.75991,1.00000,0.50692,0.00000
1.22020,20.48314,7.36150,0.80285,-19.74009,-11.53134,-1.16174,-16.82540,-12.77682,-0.94150,47.36397,0.48314,1.80285,21.12679,1.00000,0.53346,0.00000
1.25264,20.21437,6.57471,0.76072,-22.39816,-11.10136,-1.32036,-16.03981,-13.34867,-0.93531,46.57521,0.21438,1.76072,20.86774,1.00000,0.59267,0.00000
1.28369,19.93073,5.76836,0.71857,-24.46989,-12.00041,-1.40555,-15.80413,-13.52023,-0.93346,45.76841,0.06927,1.71857,20.79825,1.00000,0.50954,0.00000
1.32316,19.51675,4.77061,0.66104,-26.85434,-13.48580,-1.50395,-14.74905,-14.55607,-0.93290,44.77322,0.48325,1.66104,20.72230,1.00000,0.51421,0.00000
1.35465,19.04398,3.74801,0.61228,-28.37882,-14.38486,-1.62144,-13.94034,-14.86682,-0.93273,43.75845,0.95602,1.61228,20.38027,1.00000,0.50954,0.00000
1.38572,18.60756,2.78886,0.55993,-29.27788,-17.08202,-1.65963,-12.71335,-15.94442,-0.86396,42.81151,1.39244,1.55993,20.39250,1.00000,0.50896,0.00000
1.41630,18.15428,1.80764,0.50795,-29.19970,-18.88013,-1.70075,-11.85307,-16.26770,-0.84333,41.84836,1.84572,1.50795,20.12793,1.00000,0.51217,0.00000
1.45154,17.62457,0.67277,0.44652,-29.66877,-21.26457,-1.79181,-10.44655,-16.85687,-0.83714,40.74208,2.37543,1.44652,19.83140,1.00000,0.51129,0.00000
1.48114,17.13746,-0.43333,0.39360,-28.96516,-24.07900,-1.79916,-8.71209,-16.54144,-0.78374,39.67008,2.86254,1.39360,18.69544,1.00000,0.51333,0.00000
1.50883,16.72984,-1.38630,0.34416,-26.81525,-25.36895,-1.70957,-7.69956,-16.44681,-0.76772,38.75192,3.27016,1.34416,18.15987,1.00000,0.51042,0.00000
1.53960,16.34260,-2.42284,0.29343,-24.93897,-28.49609,-1.62291,-6.08331,-15.92623,-0.76291,37.75473,3.65740,1.29343,17.04850,1.00000,0.57254,0.00000
1.56886,15.95204,-3.53928,0.24706,-23.76629,-31.54506,-1.53773,-4.44999,-15.77006,-0.69275,36.68473,4.04796,1.24706,16.38588,1.00000,0.60812,0.00000
1.59985,15.55293,-4.74114,0.20359,-21.81182,-33.49952,-1.44079,-2.64750,-15.23102,-0.67170,35.53820,4.44708,1.20359,15.45940,1.00000,0.49233,0.00000
1.63113,15.17495,-5.97994,0.15852,-20.20916,-35.88397,-1.38352,-1.45050,-15.06931,-0.66539,34.36052,4.82505,1.15852,15.13895,1.00000,0.44975,0.00000
1.66019,14.86985,-7.12443,0.12085,-17.31656,-37.25209,-1.32917,-0.43515,-14.52860,-0.59477,33.27344,5.13015,1.12085,14.53512,1.00000,0.50138,0.00000
1.68903,14.58900,-8.26378,0.08550,-14.50213,-38.22932,-1.16909,0.52571,-13.87421,-0.64231,32.19421,5.41100,1.08550,13.88416,1.00000,0.45908,0.00000
1.72457,14.30096,-9.59292,0.04693,-13.13400,-40.61377,-1.09859,0.81396,-13.18570,-0.58785,30.93654,5.69904,1.04693,13.21080,1.00000,0.43896,0.00000
1.75185,13.98394,-11.03482,0.01668,-11.92223,-41.66918,-1.14559,1.55669,-12.97915,-0.57151,29.58335,6.01606,1.01668,13.07217,1.00000,0.39375,0.00000
1.77882,13.77689,-12.11719,-0.01310,-9.34234,-42.52915,-1.07803,1.77951,-12.42499,-0.56661,28.56883,6.22311,0.98690,12.55178,1.00000,0.42496,0.00000
1.80598,13.56296,-13.30880,-0.04406,-8.13057,-43.46729,-1.06187,1.84635,-12.25875,-0.49641,27.45644,6.43704,0.95594,12.39701,1.00000,0.57779,0.00000
1.83844,13.36944,-14.70674,-0.08018,-4.49527,-44.24908,-1.14852,2.52266,-11.71669,-0.47535,26.14791,6.63056,0.91982,11.98518,1.00000,0.49758,0.00000
1.86774,13.21850,-15.99263,-0.11413,-1.83720,-44.83541,-1.16762,2.72555,-10.89782,-0.46904,24.94679,6.78150,0.88587,11.23348,1.00000,0.54629,0.00000
1.89720,13.07193,-17.35283,-0.14750,0.19545,-45.38266,-1.18083,3.44266,-10.15997,-0.41560,23.68316,6.92807,0.85250,10.72739,1.00000,0.49292,0.00000
1.92699,12.93225,-18.69938,-0.18402,1.87629,-45.57811,-1.22783,4.14999,-9.28237,-0.39957,22.44258,7.06775,0.81598,10.16783,1.00000,0.50196,0.00000
1.95716,12.80026,-20.03462,-0.22374,3.12714,-45.18722,-1.32624,4.36218,-8.36283,-0.39476,21.22387,7.19974,0.77626,9.43216,1.00000,0.54571,0.00000
1.99193,12.61606,-21.58841,-0.26869,4.76889,-44.63997,-1.28952,4.42584,-7.59479,-0.32460,19.83707,7.38394,0.73131,8.79027,1.00000,0.49642,0.00000
2.02191,12.44242,-22.94322,-0.30877,6.17611,-45.03086,-1.31596,4.44494,-6.70812,-0.30355,18.65612,7.55758,0.69123,8.04714,1.00000,0.60492,0.00000
2.05282,12.41467,-24.35775,-0.34845,11.10136,-43.81909,-1.28658,4.45067,-5.78587,-0.29723,17.38440,7.58533,0.65155,7.29964,1.00000,0.50837,0.00000
2.08562,12.36217,-25.75292,-0.38831,13.21218,-41.16102,-1.21755,4.45239,-4.85295,-0.29534,16.16526,7.63783,0.61169,6.58596,1.00000,0.43663,0.00000
2.11900,12.30394,-27.17247,-0.43224,15.28391,-40.53559,-1.35120,5.10915,-4.57307,-0.22605,14.95911,7.69606,0.56776,6.85685,1.00000,0.43604,0.00000
2.15112,12.37660,-28.62615,-0.47703,18.33288,-37.99479,-1.39086,4.64993,-3.99692,-0.20526,13.69236,7.62340,0.52297,6.13166,1.00000,0.43954,0.00000
2.18471,12.45269,-29.81792,-0.52252,20.56097,-35.25854,-1.34386,4.51217,-3.16783,-0.19902,12.67425,7.54731,0.47748,5.51315,1.00000,0.50167,0.00000
2.21776,12.57755,-31.17644,-0.56789,23.14086,-33.03045,-1.34680,4.47084,-2.26285,-0.19715,11.53031,7.42245,0.43211,5.01088,1.00000,0.51217,0.00000
2.25186,12.77011,-32.59829,-0.61490,25.09532,-30.21602,-1.36148,4.45844,-1.99135,-0.12787,10.34682,7.22990,0.38510,4.88295,1.00000,0.51042,0.00000
2.28537,12.98323,-33.75774,-0.65798,26.93252,-26.07256,-1.26161,3.96253,-1.25366,-0.10708,9.39153,7.01677,0.34202,4.15612,1.00000,0.50867,0.00000
2.32281,13.25111,-34.94526,-0.69839,28.37882,-23.64902,-1.03543,3.81376,-0.37610,-0.10085,8.43196,6.74889,0.30161,3.83226,1.00000,0.60171,0.00000
2.35609,13.65719,-36.32192,-0.73120,30.02057,-19.66191,-0.93556,3.11288,-0.11283,-0.09898,7.33208,6.34281,0.26880,3.11492,1.00000,0.51654,0.00000
2.39044,14.03610,-37.34029,-0.76244,30.76327,-16.18297,-0.89297,2.90261,-0.03385,-0.09842,6.53009,5.96390,0.23756,2.90281,1.00000,0.51654,0.00000
2.42303,14.49017,-38.38368,-0.79063,31.07598,-13.87670,-0.82394,2.18328,-0.01015,-0.09825,5.74201,5.50983,0.20937,2.18331,1.00000,0.48679,0.00000
2.45412,14.96677,-39.31184,-0.81408,30.88054,-10.98409,-0.73141,1.96749,-0.00305,-0.09820,5.08006,5.03323,0.18592,1.96749,1.00000,0.44654,0.00000
2.48504,15.44221,-40.14519,-0.83607,30.95872,-8.36511,-0.69176,1.24650,0.65534,-0.02946,4.56011,4.55779,0.16393,1.40827,1.00000,0.52792,0.00000
