time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02264,0.00000,0.00000,0.00120,-0.00000,0.00000,0.00000,9.60938,5.15625,0.61359,22.36068,0.00000,0.99880,10.90537,0.00000,0.41883,0.00000
0.07746,0.00586,0.00391,0.00418,0.23454,0.07818,0.22765,10.07813,5.15625,0.61359,22.35369,0.00087,0.99582,11.32058,0.00000,0.34475,0.00000
0.10900,0.12306,0.02582,0.01513,2.54080,0.78179,0.41124,10.07813,5.15625,0.61359,22.23909,0.03194,0.98487,11.32058,0.00000,0.32987,0.00000
0.13824,0.25531,0.07453,0.03061,4.69071,1.36813,0.59042,10.07813,4.68750,0.61359,22.09904,0.04752,0.96939,11.11491,0.00000,0.33921,0.00000
0.16819,0.53802,0.16706,0.05175,7.30970,2.46263,0.75785,9.60938,4.68750,0.61359,21.80494,0.09119,0.94825,10.69171,0.00000,0.35321,0.00000
0.20160,0.84715,0.28107,0.08178,10.00686,3.24441,0.96053,9.60938,4.68750,0.61359,21.47765,0.12746,0.91822,10.69171,0.00000,0.34067,0.00000
0.22993,1.20068,0.42252,0.11397,11.80497,3.86984,1.17790,9.60938,3.98438,0.53996,21.09840,0.15905,0.88603,10.40266,0.00000,0.40688,0.00000
0.26369,1.70434,0.62920,0.16065,15.71389,4.45618,1.39380,9.14063,3.98438,0.61359,20.55585,0.19943,0.83935,9.97127,0.00000,0.39346,0.00000
0.29617,2.30581,0.91522,0.20846,18.25470,5.23796,1.53332,9.14063,2.81250,0.53996,19.89014,0.21259,0.79154,9.56353,0.00000,0.38733,0.00000
0.33028,2.94714,1.27293,0.26531,20.40461,6.41064,1.70810,8.43750,2.34375,0.53996,19.15625,0.17946,0.73469,8.75697,0.00000,0.33687,0.00000
0.36155,3.64412,1.66870,0.32084,24.31354,6.37155,1.82853,7.96875,1.64063,0.49087,18.35553,0.13716,0.67916,8.13589,0.00000,0.36954,0.00000
0.39402,4.42032,2.12178,0.38276,26.54163,5.74613,1.97393,7.50000,0.00000,0.41724,17.45831,0.07905,0.61724,7.50000,0.00000,0.34300,0.00000
0.42631,5.21720,2.62297,0.44717,28.37882,5.43341,2.01653,7.50000,0.00000,0.41724,16.52125,0.01286,0.55283,7.50000,0.00000,0.33804,0.00000
0.45274,5.94701,3.06804,0.50178,30.48965,3.75257,2.00184,6.79688,0.00000,0.29452,15.66967,0.08456,0.49822,6.79688,0.00000,0.41388,0.00000
