time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02819,0.00000,0.00000,0.00054,-0.00000,0.00000,0.00587,0.46875,-10.78125,0.00000,20.00000,6.32456,0.00054,10.79144,0.00000,0.54833
0.10130,0.00001,-0.03127,0.00141,0.00000,-1.28995,-0.00441,0.46875,-10.78125,0.00000,19.96873,6.31468,0.00141,10.79144,0.00000,0.52704
0.14092,0.01575,-0.16221,0.00065,0.35180,-4.14346,-0.05287,0.46875,-10.78125,0.00000,19.83780,6.28820,0.00065,10.79144,0.00000,0.44217
0.16868,0.01773,-0.42997,-0.00147,0.15636,-7.42696,-0.08225,0.46875,-10.78125,0.00000,19.57004,6.20540,0.00147,10.79144,0.00000,0.35787
0.19734,0.02704,-0.69775,-0.00256,0.23454,-9.73323,-0.02644,0.93750,-10.78125,0.00000,19.30227,6.12956,0.00256,10.82193,0.00000,0.35496
0.23021,0.03364,-1.11602,-0.00337,0.31271,-12.74311,-0.04406,0.46875,-10.31250,0.00000,18.88401,6.00355,0.00337,10.32315,0.00000,0.43721
0.25930,0.03183,-1.58314,-0.00466,-0.07818,-15.04938,-0.03084,0.46875,-9.84375,0.00000,18.41689,5.85412,0.00466,9.85490,0.00000,0.35087
0.29545,0.04450,-2.16173,-0.00619,0.46907,-17.59018,-0.05728,0.93750,-8.90625,0.00000,17.83832,5.68318,0.00619,8.95546,0.00000,0.40804
0.33162,0.04132,-2.90442,-0.00869,0.07818,-20.40461,-0.06756,0.46875,-8.90625,0.00000,17.09563,5.44529,0.00869,8.91858,0.00000,0.51508
0.36436,0.04951,-3.69805,-0.01127,0.35180,-22.20272,-0.06609,0.46875,-8.67188,0.00000,16.30203,5.20210,0.01127,8.68454,0.00000,0.47337
0.39890,0.05573,-4.48974,-0.01432,0.46907,-23.41448,-0.07784,0.46875,-8.20313,0.00000,15.51037,4.95765,0.01432,8.21651,0.00000,0.51508
0.43455,0.04377,-5.42780,-0.01727,0.00000,-25.40804,-0.08225,0.46875,-7.73438,0.00000,14.57226,4.64966,0.01727,7.74857,0.00000,0.55650
0.46964,0.03766,-6.31907,-0.01991,0.03909,-26.50254,-0.07784,0.46875,-7.26563,0.00000,13.68098,4.36202,0.01991,7.28073,0.00000,0.53433
0.50512,0.02375,-7.28254,-0.02294,0.27363,-27.28432,-0.08518,0.93750,-6.79688,0.00000,12.71748,4.04415,0.02294,6.86123,0.00000,0.38704
0.53512,0.00610,-8.20098,-0.02588,0.11727,-27.90975,-0.08665,0.46875,-6.32813,0.04909,11.79903,3.73696,0.02588,6.34546,0.00000,0.45150
0.56838,0.02159,-9.09293,-0.02867,0.89905,-28.02702,-0.07637,0.46875,-5.85938,0.00000,10.90709,3.46959,0.02867,5.87810,0.00000,0.45500
0.61103,0.01656,-10.26988,-0.03096,0.66452,-27.83157,-0.05287,0.93750,-5.39063,0.00000,9.73014,3.09265,0.03096,5.47154,0.00000,0.45296
0.64408,0.01090,-11.19657,-0.03256,0.74270,-27.63613,-0.06315,0.46875,-4.92188,0.00000,8.80344,2.79423,0.03256,4.94415,0.00000,0.35729
0.67750,0.04243,-12.13432,-0.03389,1.56357,-27.44068,-0.03819,0.46875,-4.92188,0.00000,7.86580,2.52760,0.03389,4.94415,0.00000,0.51625
0.70825,0.05919,-12.89173,-0.03606,1.68084,-26.46345,-0.04406,0.46875,-3.98438,0.00000,7.10852,2.30399,0.03606,4.01185,0.00000,0.54221
0.74153,0.09528,-13.83181,-0.03768,1.95446,-25.79893,-0.04847,0.46875,-3.98438,0.04909,6.16892,2.04095,0.03768,4.01185,0.00000,0.34971
0.77504,0.15544,-14.60866,-0.04002,2.61898,-24.39172,-0.06462,0.00000,-3.51563,0.04909,5.39358,1.85235,0.04002,3.51563,0.00000,0.35933
0.80634,0.18773,-15.31024,-0.04097,2.22809,-23.49266,0.00587,6.32813,-13.59375,0.04909,36.05080,1.66113,0.04097,14.99451,1.00000,0.42350
0.83559,0.23448,-16.03005,-0.03851,2.18900,-22.28090,0.07784,6.32813,-13.12500,0.00000,35.34577,1.47786,0.03851,14.57089,1.00000,0.40337
