field,value
model,Attention
model_file,Test4_crossATTN_NOGRU.tflite
timestamp,19691231_182330
duration_s,1.703
steps,51
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,0.917
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,14.03707
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.885
M5_inf_p95_ms,1.235
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,19.0641
max_pos_error_in,38.6320
avg_crosstrack_in,2.0303
max_crosstrack_in,3.9391
avg_theta_error_rad,0.2891
avg_inference_ms,0.926
RMSE Cross Track,2.431
CT STD DEV,1.351
