field,value
model,Attention
model_file,Test4_crossATTN_NOGRU.tflite
timestamp,19691231_185128
duration_s,1.867
steps,55
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,1.012
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,14.04498
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.874
M5_inf_p95_ms,1.597
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,18.9343
max_pos_error_in,39.2855
avg_crosstrack_in,1.4258
max_crosstrack_in,3.5432
avg_theta_error_rad,0.2693
avg_inference_ms,0.915
RMSE Cross Track,1.957
CT STD DEV,1.353
