field,value
model,Attention
model_file,Test4_crossATTN_NOGRU.tflite
timestamp,19691231_182446
duration_s,1.182
steps,33
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.689
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,6.54948
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.881
M5_inf_p95_ms,1.123
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.9465
max_pos_error_in,24.9268
avg_crosstrack_in,0.6496
max_crosstrack_in,1.5683
avg_theta_error_rad,0.0489
avg_inference_ms,0.921
RMSE Cross Track,0.833
CT STD DEV,0.529
