field,value
model,Attention
model_file,Test4_crossATTN_NOGRU.tflite
timestamp,19691231_185851
duration_s,1.211
steps,35
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.709
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,5.85951
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.915
M5_inf_p95_ms,1.318
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.3679
max_pos_error_in,24.0131
avg_crosstrack_in,0.4921
max_crosstrack_in,0.9652
avg_theta_error_rad,0.0179
avg_inference_ms,0.970
RMSE Cross Track,0.580
CT STD DEV,0.312
