field,value
model,Attention
model_file,Test4_crossATTN_NOGRU.tflite
timestamp,19691231_183144
duration_s,2.105
steps,64
goal1,[-10.0, -50.0, 0.0]
goal2,[20.0, -50.0, 0.0]
goal_switch_dist,8.00
goal_switch_time_s,1.321
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,12.57659
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.878
M5_inf_p95_ms,1.126
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,29.3533
max_pos_error_in,50.9902
avg_crosstrack_in,2.4876
max_crosstrack_in,6.1483
avg_theta_error_rad,0.0455
avg_inference_ms,0.932
RMSE Cross Track,3.079
CT STD DEV,1.829
