field,value
model,MLP
model_file,Test0_Baseline.tflite
timestamp,19691231_180345
duration_s,2.441
steps,65
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.792
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,21.60731
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.407
M5_inf_p95_ms,0.535
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,28.1062
max_pos_error_in,52.3686
avg_crosstrack_in,3.6311
max_crosstrack_in,8.7897
avg_theta_error_rad,0.8699
avg_inference_ms,0.422
RMSE Cross Track,4.755
CT STD DEV,3.093
