field,value
model,test0_baseline
model_file,Test0_Baseline.tflite
timestamp,20260811_211910
duration_s,2.575
steps,86
goal1,[-10.0, -50.0, 0.0]
goal2,[10.0, 15.0, 0.0]
goal_switch_dist,15.00
goal_switch_time_s,1.120
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,29.53627
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.397
M5_inf_p95_ms,0.579
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,43.1271
max_pos_error_in,61.6419
avg_crosstrack_in,2.5128
max_crosstrack_in,5.1465
avg_theta_error_rad,0.1519
avg_inference_ms,0.418
RMSE Cross Track,2.736
CT STD DEV,1.089
