field,value
model,MLP
model_file,Test0_Baseline.tflite
timestamp,19691231_182025
duration_s,2.093
steps,70
goal1,[-10.0, -50.0, 0.0]
goal2,[20.0, -50.0, 0.0]
goal_switch_dist,8.00
goal_switch_time_s,1.308
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,15.63484
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.383
M5_inf_p95_ms,0.540
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,29.9241
max_pos_error_in,50.9902
avg_crosstrack_in,2.4461
max_crosstrack_in,6.4795
avg_theta_error_rad,0.0834
avg_inference_ms,0.398
RMSE Cross Track,2.909
CT STD DEV,1.586
