field,value
model,MLP
model_file,Test0_Baseline.tflite
timestamp,20260812_154842
duration_s,2.448
steps,62
goal1,[30.0, 0.0, 0.0]
goal2,[55.0, -15.0, 0.0]
goal_switch_dist,3.00
goal_switch_time_s,0.872
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,12.59555
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.431
M5_inf_p95_ms,0.554
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.2562
max_pos_error_in,31.2410
avg_crosstrack_in,6.2943
max_crosstrack_in,15.4349
avg_theta_error_rad,0.0816
avg_inference_ms,0.433
RMSE Cross Track,7.478
CT STD DEV,4.071
