field,value
model,AttentionGRU
model_file,Test4_crossATTN.tflite
timestamp,19691231_183209
duration_s,2.068
steps,66
goal1,[-10.0, -50.0, 0.0]
goal2,[20.0, -50.0, 0.0]
goal_switch_dist,8.00
goal_switch_time_s,1.346
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,10.01821
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,1.434
M5_inf_p95_ms,1.686
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,28.5119
max_pos_error_in,50.9902
avg_crosstrack_in,2.8087
max_crosstrack_in,5.7910
avg_theta_error_rad,0.0256
avg_inference_ms,1.430
RMSE Cross Track,3.392
CT STD DEV,1.916
