field,value
model,AttentionGRU
model_file,Test4_crossATTN.tflite
timestamp,19691231_184859
duration_s,1.972
steps,57
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,1.125
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,11.62660
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,1.480
M5_inf_p95_ms,1.705
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,18.7569
max_pos_error_in,39.4947
avg_crosstrack_in,0.9337
max_crosstrack_in,3.5629
avg_theta_error_rad,0.3166
avg_inference_ms,1.510
RMSE Cross Track,1.466
CT STD DEV,1.140
