field,value
model,AttentionGRU
model_file,Test4_crossATTN.tflite
timestamp,19691231_182724
duration_s,1.667
steps,48
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.863
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,5.98299
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,1.537
M5_inf_p95_ms,2.069
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.7024
max_pos_error_in,24.7311
avg_crosstrack_in,0.6490
max_crosstrack_in,1.5046
avg_theta_error_rad,0.2094
avg_inference_ms,1.568
RMSE Cross Track,0.888
CT STD DEV,0.612
